trial,seed,graph,gen,bestSpan_gen
3,1237,sd_3_100.txt,87,120
3,1237,sd_3_100.txt,88,120
3,1237,sd_3_100.txt,89,120
3,1237,sd_3_100.txt,90,120
3,1237,sd_3_100.txt,91,120
3,1237,sd_3_100.txt,92,120
3,1237,sd_3_100.txt,93,120
3,1237,sd_3_100.txt,94,120
3,1237,sd_3_100.txt,95,120
3,1237,sd_3_100.txt,96,120
3,1237,sd_3_100.txt,97,120
3,1237,sd_3_100.txt,98,120
3,1237,sd_3_100.txt,99,120
3,1237,sd_3_100.txt,100,119
3,1237,sd_3_100.txt,101,119
3,1237,sd_3_100.txt,102,119
3,1237,sd_3_100.txt,103,119
3,1237,sd_3_100.txt,104,119
3,1237,sd_3_100.txt,105,119
3,1237,sd_3_100.txt,106,119
3,1237,sd_3_100.txt,107,119
3,1237,sd_3_100.txt,108,119
3,1237,sd_3_100.txt,109,119
3,1237,sd_3_100.txt,110,119
3,1237,sd_3_100.txt,111,119
3,1237,sd_3_100.txt,112,119
3,1237,sd_3_100.txt,113,119
3,1237,sd_3_100.txt,114,119
3,1237,sd_3_100.txt,115,119
3,1237,sd_3_100.txt,116,119
3,1237,sd_3_100.txt,117,119
3,1237,sd_3_100.txt,118,119
3,1237,sd_3_100.txt,119,119
3,1237,sd_3_100.txt,120,119
3,1237,sd_3_100.txt,121,119
3,1237,sd_3_100.txt,122,119
3,1237,sd_3_100.txt,123,119
3,1237,sd_3_100.txt,124,119
3,1237,sd_3_100.txt,125,119
3,1237,sd_3_100.txt,126,119
3,1237,sd_3_100.txt,127,119
3,1237,sd_3_100.txt,128,119
3,1237,sd_3_100.txt,129,119
3,1237,sd_3_100.txt,130,119
3,1237,sd_3_100.txt,131,119
3,1237,sd_3_100.txt,132,119
3,1237,sd_3_100.txt,133,119
3,1237,sd_3_100.txt,134,119
3,1237,sd_3_100.txt,135,119
3,1237,sd_3_100.txt,136,119
3,1237,sd_3_100.txt,137,119
3,1237,sd_3_100.txt,138,119
3,1237,sd_3_100.txt,139,119
3,1237,sd_3_100.txt,140,119
3,1237,sd_3_100.txt,141,119
3,1237,sd_3_100.txt,142,119
3,1237,sd_3_100.txt,143,119
3,1237,sd_3_100.txt,144,119
3,1237,sd_3_100.txt,145,119
3,1237,sd_3_100.txt,146,119
3,1237,sd_3_100.txt,147,119
3,1237,sd_3_100.txt,148,119
3,1237,sd_3_100.txt,149,119
3,1237,sd_3_100.txt,150,119
3,1237,sd_3_100.txt,151,119
3,1237,sd_3_100.txt,152,119
3,1237,sd_3_100.txt,153,119
3,1237,sd_3_100.txt,154,119
3,1237,sd_3_100.txt,155,119
3,1237,sd_3_100.txt,156,119
3,1237,sd_3_100.txt,157,119
3,1237,sd_3_100.txt,158,119
3,1237,sd_3_100.txt,159,119
3,1237,sd_3_100.txt,160,119
3,1237,sd_3_100.txt,161,119
3,1237,sd_3_100.txt,162,119
3,1237,sd_3_100.txt,163,119
3,1237,sd_3_100.txt,164,119
3,1237,sd_3_100.txt,165,119
3,1237,sd_3_100.txt,166,119
3,1237,sd_3_100.txt,167,119
3,1237,sd_3_100.txt,168,119
3,1237,sd_3_100.txt,169,119
3,1237,sd_3_100.txt,170,119
3,1237,sd_3_100.txt,171,119
3,1237,sd_3_100.txt,172,119
3,1237,sd_3_100.txt,173,119
3,1237,sd_3_100.txt,174,119
3,1237,sd_3_100.txt,175,119
3,1237,sd_3_100.txt,176,119
3,1237,sd_3_100.txt,177,119
3,1237,sd_3_100.txt,178,119
3,1237,sd_3_100.txt,179,119
3,1237,sd_3_100.txt,180,119
3,1237,sd_3_100.txt,181,119
3,1237,sd_3_100.txt,182,119
3,1237,sd_3_100.txt,183,119
3,1237,sd_3_100.txt,184,119
3,1237,sd_3_100.txt,185,119
3,1237,sd_3_100.txt,186,119
3,1237,sd_3_100.txt,187,119
3,1237,sd_3_100.txt,188,119
3,1237,sd_3_100.txt,189,119
3,1237,sd_3_100.txt,190,119
3,1237,sd_3_100.txt,191,119
3,1237,sd_3_100.txt,192,119
3,1237,sd_3_100.txt,193,119
3,1237,sd_3_100.txt,194,119
3,1237,sd_3_100.txt,195,119
3,1237,sd_3_100.txt,196,119
3,1237,sd_3_100.txt,197,119
3,1237,sd_3_100.txt,198,119
3,1237,sd_3_100.txt,199,119
3,1237,sd_3_100.txt,200,119
